hs16 151    175 0.014
hs16 5626   5650 0.049
hs16 5651   5675 0.075
hs16 5676   5700 0.107
hs16 5701   5725 0.127
hs16 5726   5750 0.199
hs16 5751   5775 0.181
hs16 5776   5800 0.263
hs16 5801   5825 0.193
hs16 5826   5850 0.215
hs16 5851   5875 0.089
hs16 5876   5900 0.049
hs16 5901   5925 0.027
hs16 5926   5950 0.061
hs16 5951   5975 0.086
hs16 5976   6000 0.113
hs16 6001   6025 0.127
hs16 6026   6050 0.1
hs16 6051   6075 0.14
hs16 6076   6100 0.113
hs16 6101   6125 0.14
hs16 6126   6150 0.1
hs16 6151   6175 0.154
hs16 6176   6200 0.127
hs16 6201   6225 0.113
hs16 6226   6250 0.045
hs16 6251   6275 0.045
hs16 6276   6300 0.018
hs16 6301   6325 0.031
hs16 6326   6350 0.113
hs16 6351   6375 0.14
hs16 6376   6400 0.113
hs16 6401   6425 0.031
hs16 6426   6450 0.004
hs16 6451   6475 0.004
hs16 6476   6500 0.004
hs16 6501   6525 0.004
hs16 6526   6550 0.004
hs16 6551   6575 0.031
hs16 6576   6600 0.127
hs16 6601   6625 0.373
hs16 6626   6650 0.987
hs16 6651   6675 1.574
hs16 6676   6700 1.601
hs16 6701   6725 1.014
hs16 6726   6750 0.373
hs16 6751   6775 0.14
hs16 6776   6800 0.072
hs16 6801   6825 0.072
hs16 6826   6850 0.072
hs16 6851   6875 0.086
hs16 6876   6900 0.045
hs16 6901   6925 0.031
hs16 6926   6950 0.072
hs16 6951   6975 0.304
hs16 6976   7000 0.446
hs16 7001   7025 0.395
hs16 7026   7050 0.34
hs16 7051   7075 0.246
hs16 7076   7100 0.27
hs16 7101   7125 0.117
hs16 7126   7150 0.063
hs16 7151   7175 0.012
hs16 7176   7200 0.027
hs16 7201   7225 0.027
hs16 7226   7250 0.027
hs16 7251   7275 0.004
hs16 7276   7300 0.012
hs16 7301   7325 0.137
hs16 7326   7350 0.188
hs16 7351   7375 0.239
hs16 7376   7400 0.141
hs16 7401   7425 0.11
hs16 7426   7450 0.067
hs16 7451   7475 0.059
hs16 7476   7500 0.039
hs16 7501   7525 0.051
hs16 7526   7550 0.031
hs16 7551   7575 0.027
hs16 7651   7675 0.027
hs16 7676   7700 0.11
hs16 7701   7725 0.164
hs16 7726   7750 0.16
hs16 7751   7775 0.067
hs16 7776   7800 0.074
hs16 7801   7825 0.07
hs16 7826   7850 0.125
hs16 7851   7875 0.09
hs16 7876   7900 0.07
hs16 7926   7950 0.004
hs16 7951   7975 0.024
hs16 7976   8000 0.438
hs16 8001   8025 0.504
hs16 8026   8050 0.561
hs16 8051   8075 0.16
hs16 8076   8100 0.072
hs16 8101   8125 0.028
hs16 8126   8150 0.01
hs16 8151   8175 0.006
hs16 8176   8200 0.01
hs16 8201   8225 0.036
hs16 8226   8250 0.05
hs16 8251   8275 0.036
hs16 8276   8300 0.01
hs16 8301   8325 0.036
hs16 8326   8350 0.098
hs16 8351   8375 0.142
hs16 8376   8400 0.164
hs16 8401   8425 0.12
hs16 8426   8450 0.085
hs16 8451   8475 0.028
hs16 8476   8500 0.028
hs16 8501   8525 0.045
hs16 8526   8550 0.05
hs16 8551   8575 0.041
hs16 8576   8600 0.041
hs16 8601   8625 0.072
hs16 8626   8650 0.156
hs16 8651   8675 0.208
hs16 8676   8700 0.345
hs16 8701   8725 0.35
hs16 8726   8750 0.363
hs16 8751   8775 0.283
hs16 8776   8800 0.411
hs16 8801   8825 0.416
hs16 8826   8850 0.336
hs16 8851   8875 0.147
hs16 8876   8900 0.041
hs16 8901   8925 0.036
hs16 8926   8950 0.019
hs16 8951   8975 0.006
hs16 8976   9000 0.032
hs16 9001   9025 0.089
hs16 9026   9050 0.222
hs16 9051   9075 0.201
hs16 9076   9100 0.158
hs16 9101   9125 0.118
hs16 9126   9150 0.123
hs16 9151   9175 0.111
hs16 9176   9200 0.02
hs16 9201   9225 0.055
hs16 9226   9250 0.09
hs16 9251   9275 0.111
hs16 9276   9300 0.083
hs16 9301   9325 0.09
hs16 9326   9350 0.069
hs16 9351   9375 0.041
hs16 9376   9400 0.058
hs16 9401   9425 0.128
hs16 9426   9450 0.137
hs16 9451   9475 0.105
hs16 9476   9500 0.07
hs16 9501   9525 0.07
hs16 9526   9550 0.062
hs16 9551   9575 0.035
hs16 9576   9600 0.035
hs16 9601   9625 0.018
hs16 9626   9650 0.009
hs16 9876   9900 0.009
hs16 9901   9925 0.018
hs16 9926   9950 0.018
hs16 9951   9975 0.018
hs16 9976  10000 0.018
hs16 10001  10025 0.027
hs16 10026  10050 0.018
hs16 10051  10075 0.009
hs16 10101  10125 0.009
hs16 10126  10150 0.009
hs16 10151  10175 0.009
hs16 10476  10500 0.009
hs16 10501  10525 0.037
hs16 10526  10550 0.037
hs16 10551  10575 0.046
hs16 10576  10600 0.027
hs16 10601  10625 0.037
hs16 10626  10650 0.018
hs16 10651  10675 0.015
hs16 10676  10700 0.033
hs16 10701  10725 0.061
hs16 10726  10750 0.055
hs16 10751  10775 0.055
hs16 10776  10800 0.027
hs16 10801  10825 0.027
hs16 10876  10900 0.007
hs16 10901  10925 0.016
hs16 10926  10950 0.016
hs16 10951  10975 0.009
hs16 11051  11075 0.009
hs16 11076  11100 0.018
hs16 11101  11125 0.018
hs16 11126  11150 0.037
hs16 11151  11175 0.027
hs16 11176  11200 0.027
hs16 11226  11250 0.009
hs16 11251  11275 0.009
hs16 11276  11300 0.009
hs16 11301  11325 0.018
hs16 11326  11350 0.018
hs16 11351  11375 0.018
hs16 11451  11475 0.009
hs16 11476  11500 0.018
hs16 11501  11525 0.027
hs16 11526  11550 0.037
hs16 11551  11575 0.027
hs16 11576  11600 0.027
hs16 11601  11625 0.009
hs16 11626  11650 0.027
hs16 11651  11675 0.018
hs16 11676  11700 0.018
hs16 11951  11975 0.027
hs16 11976  12000 0.027
hs16 12001  12025 0.055
hs16 12026  12050 0.055
hs16 12051  12075 0.055
hs16 12076  12100 0.027
hs16 12326  12350 0.009
hs16 12351  12375 0.009
hs16 12376  12400 0.009
hs16 12451  12475 0.009
hs16 12476  12500 0.009
hs16 12501  12525 0.009
hs16 12576  12600 0.028
hs16 12601  12625 0.028
hs16 12626  12650 0.028
hs16 12651  12675 0.055
hs16 12676  12700 0.055
hs16 12701  12725 0.065
hs16 12726  12750 0.028
hs16 12751  12775 0.037
hs16 12776  12800 0.028
hs16 12801  12825 0.009
hs16 12826  12850 0.018
hs16 12851  12875 0.018
hs16 12876  12900 0.018
hs16 12926  12950 0.009
hs16 12951  12975 0.009
hs16 12976  13000 0.009
hs16 13001  13025 0.018
hs16 13026  13050 0.028
hs16 13051  13075 0.028
hs16 13076  13100 0.009
hs16 13126  13150 0.027
hs16 13151  13175 0.027
hs16 13176  13200 0.027
hs16 13201  13225 0.027
hs16 13226  13250 0.055
hs16 13251  13275 0.055
hs16 13276  13300 0.027
hs16 13326  13350 0.009
hs16 13351  13375 0.009
hs16 13376  13400 0.009
hs16 13726  13750 0.027
hs16 13751  13775 0.027
hs16 13776  13800 0.027
hs16 13926  13950 0.027
hs16 13951  13975 0.046
hs16 13976  14000 0.046
hs16 14001  14025 0.018
hs16 14026  14050 0.027
hs16 14051  14075 0.083
hs16 14076  14100 0.083
hs16 14101  14125 0.055
hs16 14151  14175 0.018
hs16 14176  14200 0.018
hs16 14201  14225 0.018
hs16 14276  14300 0.028
hs16 14301  14325 0.055
hs16 14326  14350 0.055
hs16 14351  14375 0.055
hs16 14376  14400 0.055
hs16 14401  14425 0.083
hs16 14426  14450 0.111
hs16 14451  14475 0.083
hs16 14476  14500 0.073
hs16 14501  14525 0.036
hs16 14526  14550 0.064
hs16 14551  14575 0.049
hs16 14576  14600 0.059
hs16 14601  14625 0.031
hs16 14626  14650 0.028
hs16 14651  14675 0.018
hs16 14676  14700 0.028
hs16 14701  14725 0.042
hs16 14726  14750 0.024
hs16 14751  14775 0.024
hs16 14776  14800 0.028
hs16 14801  14825 0.028
hs16 14826  14850 0.018
hs16 14901  14925 0.064
hs16 14926  14950 0.064
hs16 14951  14975 0.064
hs16 14976  15000 0.009
hs16 15001  15025 0.009
hs16 15026  15050 0.028
hs16 15051  15075 0.055
hs16 15076  15100 0.064
hs16 15101  15125 0.055
hs16 15126  15150 0.018
hs16 15151  15175 0.018
hs16 15176  15200 0.018
hs16 15201  15225 0.018
hs16 15226  15250 0.009
hs16 15476  15500 0.009
hs16 15501  15525 0.027
hs16 15526  15550 0.027
hs16 15551  15575 0.027
hs16 15576  15600 0.009
hs16 15601  15625 0.009
hs16 15626  15650 0.009
hs16 15651  15675 0.018
hs16 15676  15700 0.018
hs16 15701  15725 0.009
hs16 15726  15750 0.009
hs16 15751  15775 0.009
hs16 15776  15800 0.009
hs16 15826  15850 0.009
hs16 15851  15875 0.009
hs16 15876  15900 0.009
hs16 15901  15925 0.009
hs16 15926  15950 0.009
hs16 15951  15975 0.009
hs16 16051  16075 0.027
hs16 16076  16100 0.027
hs16 16101  16125 0.055
hs16 16126  16150 0.037
hs16 16151  16175 0.055
hs16 16176  16200 0.027
hs16 16201  16225 0.018
hs16 16251  16275 0.009
hs16 16276  16300 0.009
hs16 16301  16325 0.009
hs16 16451  16475 0.009
hs16 16476  16500 0.009
hs16 16501  16525 0.018
hs16 16526  16550 0.018
hs16 16551  16575 0.028
hs16 16576  16600 0.018
hs16 16601  16625 0.028
hs16 16626  16650 0.028
hs16 16651  16675 0.037
hs16 16676  16700 0.018
hs16 16701  16725 0.009
hs16 16776  16800 0.055
hs16 16801  16825 0.165
hs16 16826  16850 0.203
hs16 16851  16875 0.165
hs16 16876  16900 0.064
hs16 16901  16925 0.037
hs16 16926  16950 0.101
hs16 16951  16975 0.138
hs16 16976  17000 0.147
hs16 17001  17025 0.073
hs16 17026  17050 0.119
hs16 17051  17075 0.147
hs16 17076  17100 0.165
hs16 17101  17125 0.119
hs16 17126  17150 0.101
hs16 17151  17175 0.101
hs16 17176  17200 0.073
hs16 17201  17225 0.092
hs16 17226  17250 0.074
hs16 17251  17275 0.081
hs16 17276  17300 0.286
hs16 17301  17325 0.276
hs16 17326  17350 0.294
hs16 17351  17375 0.091
hs16 17376  17400 0.12
hs16 17401  17425 0.109
hs16 17426  17450 0.074
hs16 17451  17475 0.074
hs16 17476  17500 0.074
hs16 17501  17525 0.081
hs16 17526  17550 0.081
hs16 17551  17575 0.045
hs16 17576  17600 0.027
hs16 17651  17675 0.015
hs16 17676  17700 0.025
hs16 17701  17725 0.089
hs16 17726  17750 0.109
hs16 17751  17775 0.099
hs16 17776  17800 0.109
hs16 17801  17825 0.166
hs16 17826  17850 0.173
hs16 17851  17875 0.145
hs16 17876  17900 0.063
hs16 17901  17925 0.063
hs16 17926  17950 0.063
hs16 17951  17975 0.053
hs16 17976  18000 0.063
hs16 18001  18025 0.045
hs16 18026  18050 0.045
hs16 18051  18075 0.063
hs16 18076  18100 0.074
hs16 18101  18125 0.099
hs16 18126  18150 0.173
hs16 18151  18175 0.166
hs16 18176  18200 0.22
hs16 18201  18225 0.23
hs16 18226  18250 0.22
hs16 18251  18275 0.166
hs16 18276  18300 0.055
hs16 18301  18325 0.092
hs16 18326  18350 0.092
hs16 18351  18375 0.137
hs16 18376  18400 0.156
hs16 18401  18425 0.137
hs16 18426  18450 0.129
hs16 18451  18475 0.082
hs16 18476  18500 0.1
hs16 18501  18525 0.055
hs16 18526  18550 0.045
hs16 18551  18575 0.037
hs16 18576  18600 0.045
hs16 18601  18625 0.037
hs16 18626  18650 0.027
hs16 18651  18675 0.074
hs16 18676  18700 0.092
hs16 18701  18725 0.137
hs16 18726  18750 0.092
hs16 18751  18775 0.092
hs16 18776  18800 0.037
hs16 18801  18825 0.055
hs16 18826  18850 0.027
hs16 18851  18875 0.037
hs16 18876  18900 0.037
hs16 18901  18925 0.045
hs16 18926  18950 0.045
hs16 18951  18975 0.027
hs16 18976  19000 0.045
hs16 19001  19025 0.045
hs16 19026  19050 0.045
hs16 19051  19075 0.037
hs16 19076  19100 0.045
hs16 19101  19125 0.055
hs16 19126  19150 0.064
hs16 19151  19175 0.064
hs16 19176  19200 0.082
hs16 19201  19225 0.074
hs16 19226  19250 0.119
hs16 19251  19275 0.1
hs16 19276  19300 0.129
hs16 19301  19325 0.082
hs16 19326  19350 0.082
hs16 19351  19375 0.092
hs16 19376  19400 0.119
hs16 19401  19425 0.101
hs16 19426  19450 0.055
hs16 19451  19475 0.009
hs16 19476  19500 0.018
hs16 19501  19525 0.018
hs16 19526  19550 0.036
hs16 19551  19575 0.027
hs16 19576  19600 0.018
hs16 19626  19650 0.036
hs16 19651  19675 0.055
hs16 19676  19700 0.055
hs16 19701  19725 0.018
hs16 19726  19750 0.009
hs16 19751  19775 0.009
hs16 19776  19800 0.009
hs16 19901  19925 0.027
hs16 19926  19950 0.082
hs16 19951  19975 0.055
hs16 19976  20000 0.055
hs16 20001  20025 0.055
hs16 20026  20050 0.069
hs16 20051  20075 0.045
hs16 20076  20100 0.018
hs16 20101  20125 0.018
hs16 20126  20150 0.032
hs16 20151  20175 0.059
hs16 20176  20200 0.074
hs16 20201  20225 0.069
hs16 20226  20250 0.052
hs16 20251  20275 0.034
hs16 20276  20300 0.039
hs16 20301  20325 0.056
hs16 20326  20350 0.101
hs16 20351  20375 0.055
hs16 20376  20400 0.027
hs16 20426  20450 0.101
hs16 20451  20475 0.129
hs16 20476  20500 0.157
hs16 20501  20525 0.027
hs16 20526  20550 0.027
hs16 20551  20575 0.045
hs16 20576  20600 0.064
hs16 20601  20625 0.036
hs16 20626  20650 0.036
hs16 20651  20675 0.017
hs16 20676  20700 0.036
hs16 20701  20725 0.027
hs16 20726  20750 0.027
hs16 20751  20775 0.036
hs16 20776  20800 0.027
hs16 20801  20825 0.027
hs16 20851  20875 0.009
hs16 20876  20900 0.12
hs16 20901  20925 0.129
hs16 20926  20950 0.12
hs16 20951  20975 0.036
hs16 20976  21000 0.083
hs16 21001  21025 0.11
hs16 21026  21050 0.092
hs16 21051  21075 0.036
hs16 21076  21100 0.017
hs16 21101  21125 0.027
hs16 21126  21150 0.027
hs16 21151  21175 0.017
hs16 21201  21225 0.009
hs16 21226  21250 0.009
hs16 21251  21275 0.009
hs16 21276  21300 0.027
hs16 21301  21325 0.027
hs16 21326  21350 0.018
hs16 21351  21375 0.018
hs16 21376  21400 0.018
hs16 21401  21425 0.016
hs16 21426  21450 0.016
hs16 21451  21475 0.016
hs16 21526  21550 0.055
hs16 21551  21575 0.083
hs16 21576  21600 0.092
hs16 21601  21625 0.036
hs16 21626  21650 0.009
hs16 21676  21700 0.028
hs16 21701  21725 0.055
hs16 21726  21750 0.055
hs16 21751  21775 0.028
hs16 21801  21825 0.028
hs16 21826  21850 0.046
hs16 21851  21875 0.046
hs16 21876  21900 0.036
hs16 21901  21925 0.018
hs16 21926  21950 0.073
hs16 21951  21975 0.055
hs16 21976  22000 0.111
hs16 22001  22025 0.064
hs16 22026  22050 0.064
hs16 22051  22075 0.018
hs16 22076  22100 0.009
hs16 22101  22125 0.009
hs16 22126  22150 0.055
hs16 22151  22175 0.083
hs16 22176  22200 0.111
hs16 22201  22225 0.055
hs16 22226  22250 0.028
hs16 22251  22275 0.009
hs16 22276  22300 0.036
hs16 22301  22325 0.036
hs16 22326  22350 0.028
hs16 22351  22375 0.055
hs16 22376  22400 0.055
hs16 22401  22425 0.055
hs16 22426  22450 0.018
hs16 22451  22475 0.037
hs16 22476  22500 0.037
hs16 22501  22525 0.018
hs16 22526  22550 0.009
hs16 22551  22575 0.027
hs16 22576  22600 0.027
hs16 22601  22625 0.018
hs16 22626  22650 0.018
hs16 22651  22675 0.018
hs16 22676  22700 0.018
hs16 22701  22725 0.027
hs16 22726  22750 0.027
hs16 22751  22775 0.027
hs16 22776  22800 0.018
hs16 22801  22825 0.031
hs16 22826  22850 0.031
hs16 22851  22875 0.013
hs16 22876  22900 0.007
hs16 22901  22925 0.034
hs16 22926  22950 0.048
hs16 22951  22975 0.041
hs16 22976  23000 0.013
hs16 23001  23025 0.027
hs16 23026  23050 0.055
hs16 23051  23075 0.055
hs16 23076  23100 0.027
hs16 23126  23150 0.013
hs16 23151  23175 0.019
hs16 23176  23200 0.019
hs16 23201  23225 0.006
hs16 23251  23275 0.013
hs16 23276  23300 0.041
hs16 23301  23325 0.068
hs16 23326  23350 0.083
hs16 23351  23375 0.148
hs16 23376  23400 0.119
hs16 23401  23425 0.092
hs16 23776  23800 0.082
hs16 23801  23825 0.082
hs16 23826  23850 0.082
hs16 23901  23925 0.055
hs16 23926  23950 0.082
hs16 23951  23975 0.138
hs16 23976  24000 0.082
hs16 24001  24025 0.111
hs16 24026  24050 0.082
hs16 24051  24075 0.082
hs16 24076  24100 0.055
hs16 24101  24125 0.027
hs16 24126  24150 0.055
hs16 24151  24175 0.027
hs16 24176  24200 0.027
hs16 24201  24225 0.027
hs16 24226  24250 0.027
hs16 24251  24275 0.027
hs16 24276  24300 0.055
hs16 24301  24325 0.055
hs16 24326  24350 0.082
hs16 24351  24375 0.082
hs16 24376  24400 0.111
hs16 24401  24425 0.11
hs16 24426  24450 0.055
hs16 24451  24475 0.028
hs16 24476  24500 0.055
hs16 24501  24525 0.083
hs16 24526  24550 0.11
hs16 24551  24575 0.138
hs16 24576  24600 0.165
hs16 24601  24625 0.138
hs16 24626  24650 0.083
hs16 24651  24675 0.138
hs16 24676  24700 0.138
hs16 24701  24725 0.11
hs16 24726  24750 0.055
hs16 24751  24775 0.083
hs16 24776  24800 0.083
hs16 24801  24825 0.028
hs16 24851  24875 0.055
hs16 24876  24900 0.083
hs16 24901  24925 0.083
hs16 24926  24950 0.055
hs16 24951  24975 0.055
hs16 24976  25000 0.055
hs16 25026  25050 0.028
hs16 25051  25075 0.083
hs16 25076  25100 0.083
hs16 25101  25125 0.055
hs16 25126  25150 0.028
hs16 25151  25175 0.11
hs16 25176  25200 0.165
hs16 25201  25225 0.138
hs16 25226  25250 0.083
hs16 25251  25275 0.083
hs16 25276  25300 0.165
hs16 25301  25325 0.138
hs16 25326  25350 0.083
hs16 25351  25375 0.028
hs16 25376  25400 0.055
hs16 25401  25425 0.055
hs16 25426  25450 0.028
hs16 25551  25575 0.11
hs16 25576  25600 0.193
hs16 25601  25625 0.221
hs16 25626  25650 0.138
hs16 25651  25675 0.082
hs16 25676  25700 0.138
hs16 25701  25725 0.166
hs16 25726  25750 0.082
hs16 25751  25775 0.082
hs16 25776  25800 0.054
hs16 25801  25825 0.054
hs16 25826  25850 0.028
hs16 25851  25875 0.054
hs16 25876  25900 0.082
hs16 25901  25925 0.082
hs16 25926  25950 0.054
hs16 25951  25975 0.054
hs16 25976  26000 0.028
hs16 26001  26025 0.028
hs16 26026  26050 0.054
hs16 26051  26075 0.054
hs16 26076  26100 0.082
hs16 26101  26125 0.054
hs16 26126  26150 0.054
hs16 26151  26175 0.054
hs16 26176  26200 0.138
hs16 26201  26225 0.221
hs16 26226  26250 0.221
hs16 26251  26275 0.138
hs16 26276  26300 0.082
hs16 26301  26325 0.166
hs16 26326  26350 0.138
hs16 26351  26375 0.11
hs16 26401  26425 0.028
hs16 26426  26450 0.028
hs16 26451  26475 0.055
hs16 26476  26500 0.027
hs16 26501  26525 0.041
hs16 26526  26550 0.014
hs16 26551  26575 0.014
hs16 26576  26600 0.055
hs16 26601  26625 0.082
hs16 26626  26650 0.11
hs16 26651  26675 0.082
hs16 26676  26700 0.082
hs16 26701  26725 0.055
hs16 26726  26750 0.055
hs16 26751  26775 0.027
hs16 26776  26800 0.027
hs16 26801  26825 0.027
hs16 26826  26850 0.027
hs16 26851  26875 0.055
hs16 26876  26900 0.027
hs16 26901  26925 0.055
hs16 26926  26950 0.027
hs16 26951  26975 0.055
hs16 26976  27000 0.055
hs16 27001  27025 0.137
hs16 27026  27050 0.137
hs16 27051  27075 0.11
hs16 27076  27100 0.027
hs16 27126  27150 0.027
hs16 27151  27175 0.055
hs16 27176  27200 0.055
hs16 27201  27225 0.027
hs16 27276  27300 0.055
hs16 27301  27325 0.055
hs16 27326  27350 0.055
hs16 27376  27400 0.027
hs16 27401  27425 0.11
hs16 27426  27450 0.137
hs16 27451  27475 0.11
hs16 27476  27500 0.083
hs16 27501  27525 0.083
hs16 27526  27550 0.083
hs16 27551  27575 0.055
hs16 27576  27600 0.055
hs16 27601  27625 0.083
hs16 27626  27650 0.083
hs16 27651  27675 0.111
hs16 27676  27700 0.111
hs16 27701  27725 0.111
hs16 27726  27750 0.083
hs16 27751  27775 0.055
hs16 27776  27800 0.028
hs16 27801  27825 0.028
hs16 27826  27850 0.055
hs16 27851  27875 0.055
hs16 27876  27900 0.028
hs16 28051  28075 0.055
hs16 28076  28100 0.055
hs16 28101  28125 0.083
hs16 28126  28150 0.028
hs16 28151  28175 0.055
hs16 28176  28200 0.083
hs16 28201  28225 0.083
hs16 28226  28250 0.055
hs16 28251  28275 0.028
hs16 28276  28300 0.055
hs16 28301  28325 0.083
hs16 28326  28350 0.055
hs16 28351  28375 0.083
hs16 28376  28400 0.055
hs16 28401  28425 0.111
hs16 28426  28450 0.055
hs16 28451  28475 0.083
hs16 28476  28500 0.054
hs16 28501  28525 0.083
hs16 28526  28550 0.054
hs16 28551  28575 0.028
hs16 28576  28600 0.028
hs16 28601  28625 0.028
hs16 28626  28650 0.028
hs16 28701  28725 0.028
hs16 28726  28750 0.028
hs16 28751  28775 0.028
hs16 28801  28825 0.028
hs16 28826  28850 0.028
hs16 28851  28875 0.083
hs16 28876  28900 0.083
hs16 28901  28925 0.138
hs16 28926  28950 0.109
hs16 28951  28975 0.138
hs16 28976  29000 0.083
hs16 29001  29025 0.304
hs16 29026  29050 0.304
hs16 29051  29075 0.332
hs16 29076  29100 0.109
hs16 29101  29125 0.083
hs16 29126  29150 0.109
hs16 29151  29175 0.083
hs16 29176  29200 0.054
hs16 29201  29225 0.028
hs16 29226  29250 0.054
hs16 29251  29275 0.054
hs16 29276  29300 0.028
hs16 29401  29425 0.054
hs16 29426  29450 0.054
hs16 29451  29475 0.054
hs16 29526  29550 0.055
hs16 29551  29575 0.111
hs16 29576  29600 0.138
hs16 29601  29625 0.083
hs16 29626  29650 0.028
hs16 29651  29675 0.028
hs16 29676  29700 0.028
hs16 29701  29725 0.028
hs16 29776  29800 0.083
hs16 29801  29825 0.083
hs16 29826  29850 0.083
hs16 29901  29925 0.028
hs16 29926  29950 0.028
hs16 29951  29975 0.028
hs16 30001  30025 0.055
hs16 30026  30050 0.055
hs16 30051  30075 0.055
hs16 30076  30100 0.028
hs16 30101  30125 0.028
hs16 30126  30150 0.028
hs16 30201  30225 0.028
hs16 30226  30250 0.028
hs16 30251  30275 0.028
hs16 30276  30300 0.055
hs16 30301  30325 0.055
hs16 30326  30350 0.083
hs16 30351  30375 0.028
hs16 30376  30400 0.055
hs16 30401  30425 0.055
hs16 30426  30450 0.055
hs16 30451  30475 0.028
hs16 30926  30950 0.028
hs16 30951  30975 0.028
hs16 30976  31000 0.028
hs16 31026  31050 0.028
hs16 31051  31075 0.028
hs16 31076  31100 0.028
hs16 31151  31175 0.055
hs16 31176  31200 0.055
hs16 31201  31225 0.055
hs16 31226  31250 0.082
hs16 31251  31275 0.111
hs16 31276  31300 0.166
hs16 31301  31325 0.082
hs16 31326  31350 0.082
hs16 31351  31375 0.082
hs16 31376  31400 0.082
hs16 31401  31425 0.055
hs16 31451  31475 0.028
hs16 31476  31500 0.028
hs16 31501  31525 0.028
hs16 31726  31750 0.028
hs16 31751  31775 0.028
hs16 31776  31800 0.028
hs16 31801  31825 0.028
hs16 31826  31850 0.028
hs16 31851  31875 0.028
hs16 31876  31900 0.028
hs16 31901  31925 0.028
hs16 31926  31950 0.028
hs16 31951  31975 0.055
hs16 31976  32000 0.083
hs16 32001  32025 0.111
hs16 32026  32050 0.055
hs16 32051  32075 0.028
hs16 32076  32100 0.028
hs16 32101  32125 0.028
hs16 32126  32150 0.028
hs16 32226  32250 0.028
hs16 32251  32275 0.055
hs16 32276  32300 0.055
hs16 32301  32325 0.028
hs16 32326  32350 0.055
hs16 32351  32375 0.055
hs16 32376  32400 0.055
hs16 32426  32450 0.028
hs16 32451  32475 0.055
hs16 32476  32500 0.083
hs16 32501  32525 0.083
hs16 32526  32550 0.055
hs16 32551  32575 0.055
hs16 32576  32600 0.111
hs16 32601  32625 0.111
hs16 32626  32650 0.111
hs16 32651  32675 0.028
hs16 32676  32700 0.028
hs16 32851  32875 0.028
hs16 32876  32900 0.055
hs16 32901  32925 0.083
hs16 32926  32950 0.111
hs16 32951  32975 0.138
hs16 32976  33000 0.165
hs16 33001  33025 0.193
hs16 33026  33050 0.137
hs16 33051  33075 0.082
hs16 33076  33100 0.111
hs16 33101  33125 0.165
hs16 33126  33150 0.165
hs16 33151  33175 0.082
hs16 33176  33200 0.054
hs16 33201  33225 0.137
hs16 33226  33250 0.137
hs16 33251  33275 0.137
hs16 33276  33300 0.137
hs16 33301  33325 0.22
hs16 33326  33350 0.248
hs16 33351  33375 0.248
