hs16 151    175 0.015
hs16 14076  14100 0.01
hs16 14101  14125 0.019
hs16 14126  14150 0.019
hs16 14151  14175 0.01
hs16 14176  14200 0.029
hs16 14201  14225 0.039
hs16 14226  14250 0.049
hs16 14251  14275 0.019
hs16 14276  14300 0.01
hs16 14301  14325 0.029
hs16 14326  14350 0.029
hs16 14351  14375 0.176
hs16 14376  14400 0.214
hs16 14401  14425 0.254
hs16 14426  14450 0.166
hs16 14451  14475 0.098
hs16 14476  14500 0.077
hs16 14501  14525 0.059
hs16 14526  14550 0.135
hs16 14551  14575 0.337
hs16 14576  14600 0.385
hs16 14601  14625 0.337
hs16 14626  14650 0.117
hs16 14651  14675 0.126
hs16 14676  14700 0.163
hs16 14701  14725 0.19
hs16 14726  14750 0.089
hs16 14751  14775 0.034
hs16 14776  14800 0.01
hs16 14801  14825 0.028
hs16 14826  14850 0.028
hs16 14851  14875 0.047
hs16 14876  14900 0.068
hs16 14901  14925 0.059
hs16 14926  14950 0.037
hs16 14976  15000 0.028
hs16 15001  15025 0.047
hs16 15026  15050 0.187
hs16 15051  15075 0.187
hs16 15076  15100 0.196
hs16 15101  15125 0.059
hs16 15126  15150 0.028
hs16 15851  15875 0.02
hs16 15876  15900 0.02
hs16 15901  15925 0.02
hs16 16701  16725 0.01
hs16 16726  16750 0.01
hs16 16751  16775 0.01
hs16 16776  16800 0.029
hs16 16801  16825 0.029
hs16 16826  16850 0.029
hs16 16851  16875 0.02
hs16 16876  16900 0.039
hs16 16901  16925 0.079
hs16 16926  16950 0.079
hs16 16951  16975 0.079
hs16 16976  17000 0.079
hs16 17001  17025 0.079
hs16 17026  17050 0.088
hs16 17051  17075 0.088
hs16 17076  17100 0.088
hs16 17101  17125 0.058
hs16 17126  17150 0.019
hs16 17176  17200 0.029
hs16 17201  17225 0.029
hs16 17226  17250 0.029
hs16 17276  17300 0.029
hs16 17301  17325 0.029
hs16 17326  17350 0.029
hs16 17401  17425 0.01
hs16 17426  17450 0.029
hs16 17451  17475 0.029
hs16 17476  17500 0.029
hs16 17501  17525 0.029
hs16 17526  17550 0.049
hs16 17551  17575 0.039
hs16 17576  17600 0.019
hs16 17626  17650 0.019
hs16 17651  17675 0.019
hs16 17676  17700 0.019
hs16 17701  17725 0.058
hs16 17726  17750 0.069
hs16 17751  17775 0.079
hs16 17776  17800 0.058
hs16 17801  17825 0.069
hs16 17826  17850 0.098
hs16 17851  17875 0.088
hs16 17876  17900 0.079
hs16 17901  17925 0.049
hs16 17926  17950 0.049
hs16 17951  17975 0.059
hs16 17976  18000 0.078
hs16 18001  18025 0.059
hs16 18026  18050 0.049
hs16 18051  18075 0.029
hs16 18076  18100 0.049
hs16 18101  18125 0.069
hs16 18126  18150 0.059
hs16 18151  18175 0.029
hs16 18201  18225 0.049
hs16 18226  18250 0.059
hs16 18251  18275 0.088
hs16 18276  18300 0.049
hs16 18301  18325 0.039
hs16 18326  18350 0.01
hs16 18351  18375 0.029
hs16 18376  18400 0.039
hs16 18401  18425 0.059
hs16 18426  18450 0.069
hs16 18451  18475 0.098
hs16 18476  18500 0.098
hs16 18501  18525 0.078
hs16 18526  18550 0.049
hs16 18551  18575 0.049
hs16 18576  18600 0.029
hs16 18601  18625 0.029
hs16 18626  18650 0.029
hs16 18651  18675 0.029
hs16 18676  18700 0.019
hs16 18726  18750 0.01
hs16 18751  18775 0.039
hs16 18776  18800 0.039
hs16 18801  18825 0.059
hs16 18826  18850 0.029
hs16 18851  18875 0.029
hs16 18876  18900 0.01
hs16 18901  18925 0.019
hs16 18926  18950 0.029
hs16 18951  18975 0.029
hs16 18976  19000 0.02
hs16 19001  19025 0.02
hs16 19026  19050 0.01
hs16 19051  19075 0.02
hs16 19076  19100 0.02
hs16 19101  19125 0.02
hs16 19126  19150 0.01
hs16 19201  19225 0.029
hs16 19226  19250 0.049
hs16 19251  19275 0.059
hs16 19276  19300 0.049
hs16 19301  19325 0.029
hs16 19326  19350 0.029
hs16 19351  19375 0.02
hs16 19376  19400 0.029
hs16 19401  19425 0.029
hs16 19426  19450 0.029
hs16 19451  19475 0.02
hs16 19476  19500 0.01
hs16 19501  19525 0.039
hs16 19526  19550 0.039
hs16 19551  19575 0.039
hs16 19626  19650 0.029
hs16 19651  19675 0.039
hs16 19676  19700 0.049
hs16 19701  19725 0.029
hs16 19726  19750 0.02
hs16 19751  19775 0.02
hs16 19776  19800 0.01
hs16 19801  19825 0.01
hs16 20001  20025 0.007
hs16 20026  20050 0.007
hs16 20051  20075 0.007
hs16 20101  20125 0.007
hs16 20126  20150 0.007
hs16 20151  20175 0.007
hs16 20226  20250 0.006
hs16 20251  20275 0.011
hs16 20276  20300 0.011
hs16 20301  20325 0.025
hs16 20326  20350 0.039
hs16 20351  20375 0.069
hs16 20376  20400 0.049
hs16 20401  20425 0.029
hs16 20426  20450 0.029
hs16 20451  20475 0.029
hs16 20476  20500 0.029
hs16 20526  20550 0.01
hs16 20551  20575 0.019
hs16 20576  20600 0.029
hs16 20601  20625 0.019
hs16 20626  20650 0.019
hs16 20651  20675 0.019
hs16 20676  20700 0.019
hs16 20701  20725 0.019
hs16 20726  20750 0.01
hs16 20751  20775 0.01
hs16 21101  21125 0.019
hs16 21126  21150 0.019
hs16 21151  21175 0.019
hs16 21376  21400 0.01
hs16 21401  21425 0.01
hs16 21426  21450 0.019
hs16 21451  21475 0.01
hs16 21476  21500 0.01
hs16 21676  21700 0.059
hs16 21701  21725 0.059
hs16 21726  21750 0.089
hs16 21751  21775 0.059
hs16 21776  21800 0.059
hs16 21801  21825 0.069
hs16 21826  21850 0.059
hs16 21851  21875 0.059
hs16 21876  21900 0.019
hs16 22076  22100 0.01
hs16 22101  22125 0.01
hs16 22126  22150 0.01
hs16 22401  22425 0.01
hs16 22426  22450 0.01
hs16 22451  22475 0.01
hs16 22476  22500 0.02
hs16 22501  22525 0.02
hs16 22526  22550 0.02
hs16 22576  22600 0.02
hs16 22601  22625 0.02
hs16 22626  22650 0.02
hs16 23001  23025 0.015
hs16 23026  23050 0.015
hs16 23051  23075 0.015
hs16 23126  23150 0.015
hs16 23151  23175 0.014
hs16 23176  23200 0.014
hs16 23251  23275 0.022
hs16 23276  23300 0.037
hs16 23301  23325 0.066
hs16 23326  23350 0.044
hs16 23351  23375 0.029
hs16 23401  23425 0.007
hs16 23426  23450 0.007
hs16 23451  23475 0.007
hs16 23926  23950 0.029
hs16 23951  23975 0.029
hs16 23976  24000 0.029
hs16 24001  24025 0.029
hs16 24026  24050 0.029
hs16 24051  24075 0.029
hs16 24301  24325 0.059
hs16 24326  24350 0.059
hs16 24351  24375 0.059
hs16 24376  24400 0.03
hs16 24401  24425 0.03
hs16 24426  24450 0.059
hs16 24451  24475 0.03
hs16 24476  24500 0.03
hs16 24551  24575 0.03
hs16 24576  24600 0.03
hs16 24601  24625 0.03
hs16 24676  24700 0.03
hs16 24701  24725 0.03
hs16 24726  24750 0.059
hs16 24751  24775 0.03
hs16 24776  24800 0.03
hs16 24926  24950 0.03
hs16 24951  24975 0.03
hs16 24976  25000 0.03
hs16 25001  25025 0.03
hs16 25026  25050 0.03
hs16 25051  25075 0.03
hs16 25151  25175 0.03
hs16 25176  25200 0.03
hs16 25201  25225 0.03
hs16 25501  25525 0.03
hs16 25526  25550 0.03
hs16 25551  25575 0.03
hs16 26251  26275 0.03
hs16 26276  26300 0.03
hs16 26301  26325 0.03
hs16 26326  26350 0.03
hs16 26351  26375 0.03
hs16 26376  26400 0.03
hs16 26526  26550 0.03
hs16 26551  26575 0.03
hs16 26576  26600 0.03
hs16 26626  26650 0.03
hs16 26651  26675 0.03
hs16 26676  26700 0.059
hs16 26701  26725 0.03
hs16 26726  26750 0.03
hs16 26751  26775 0.03
hs16 26776  26800 0.03
hs16 26801  26825 0.03
hs16 26826  26850 0.03
hs16 26851  26875 0.03
hs16 26876  26900 0.03
hs16 26901  26925 0.03
hs16 26926  26950 0.03
hs16 26951  26975 0.03
hs16 26976  27000 0.03
hs16 27001  27025 0.03
hs16 27026  27050 0.03
hs16 27226  27250 0.03
hs16 27251  27275 0.03
hs16 27276  27300 0.03
hs16 27901  27925 0.03
hs16 27926  27950 0.03
hs16 27951  27975 0.03
hs16 28051  28075 0.03
hs16 28076  28100 0.03
hs16 28101  28125 0.03
hs16 28251  28275 0.03
hs16 28276  28300 0.03
hs16 28301  28325 0.059
hs16 28576  28600 0.03
hs16 28601  28625 0.03
hs16 28626  28650 0.03
hs16 28701  28725 0.03
hs16 28726  28750 0.03
hs16 28751  28775 0.059
hs16 28776  28800 0.03
hs16 28801  28825 0.03
hs16 28851  28875 0.03
hs16 28876  28900 0.059
hs16 28901  28925 0.059
hs16 28926  28950 0.03
hs16 28951  28975 0.03
hs16 28976  29000 0.059
hs16 29001  29025 0.059
hs16 29026  29050 0.03
hs16 29076  29100 0.03
hs16 29101  29125 0.03
hs16 29126  29150 0.03
hs16 30226  30250 0.03
hs16 30251  30275 0.03
hs16 30276  30300 0.03
hs16 30301  30325 0.03
hs16 30326  30350 0.03
hs16 30351  30375 0.03
hs16 30651  30675 0.03
hs16 30676  30700 0.03
hs16 30701  30725 0.059
hs16 30726  30750 0.03
hs16 30751  30775 0.03
hs16 30801  30825 0.03
hs16 30826  30850 0.03
hs16 30851  30875 0.03
hs16 31476  31500 0.03
hs16 31501  31525 0.03
hs16 31526  31550 0.03
hs16 32001  32025 0.03
hs16 32026  32050 0.03
hs16 32051  32075 0.03
hs16 32176  32200 0.03
hs16 32201  32225 0.03
hs16 32226  32250 0.03
hs16 32876  32900 0.03
hs16 32901  32925 0.059
hs16 32926  32950 0.059
hs16 32951  32975 0.03
hs16 32976  33000 0.03
hs16 33001  33025 0.059
hs16 33026  33050 0.059
hs16 33051  33075 0.03
hs16 33601  33625 0.059
hs16 33626  33650 0.059
hs16 33651  33675 0.059
hs16 33701  33725 0.059
hs16 33726  33750 0.059
hs16 33751  33775 0.059
hs16 33776  33800 0.03
hs16 33801  33825 0.03
hs16 33826  33850 0.03
hs16 33901  33925 0.03
hs16 33926  33950 0.03
hs16 33951  33975 0.03
hs16 34101  34125 0.03
hs16 34126  34150 0.03
hs16 34151  34175 0.03
hs16 34576  34600 0.03
hs16 34601  34625 0.03
hs16 34626  34650 0.089
hs16 34651  34675 0.089
hs16 34676  34700 0.03
hs16 34726  34750 0.089
hs16 34751  34775 0.089
hs16 34776  34800 0.089
hs16 34876  34900 0.03
hs16 34901  34925 0.03
hs16 34926  34950 0.03
hs16 34976  35000 0.03
hs16 35001  35025 0.03
hs16 35026  35050 0.03
hs16 35401  35425 0.03
hs16 35426  35450 0.03
hs16 35451  35475 0.03
hs16 35476  35500 0.03
hs16 35501  35525 0.03
hs16 35526  35550 0.03
hs16 35551  35575 0.03
hs16 35576  35600 0.059
hs16 35601  35625 0.059
hs16 35626  35650 0.03
hs16 35651  35675 0.03
hs16 35676  35700 0.03
hs16 35701  35725 0.03
hs16 35876  35900 0.03
hs16 35901  35925 0.059
hs16 35926  35950 0.059
hs16 35951  35975 0.03
hs16 36026  36050 0.03
hs16 36051  36075 0.03
hs16 36076  36100 0.059
hs16 36101  36125 0.03
hs16 36126  36150 0.03
hs16 36201  36225 0.03
hs16 36226  36250 0.03
hs16 36251  36275 0.03
hs16 36901  36925 0.03
hs16 36926  36950 0.03
hs16 36951  36975 0.089
hs16 36976  37000 0.03
hs16 37001  37025 0.03
hs16 37026  37050 0.235
hs16 37051  37075 0.44
hs16 37076  37100 1.67
hs16 37101  37125 5.977
hs16 37126  37150 10.488
hs16 37151  37175 11.309
hs16 37176  37200 9.873
hs16 37201  37225 9.258
hs16 37226  37250 11.719
hs16 37251  37275 12.744
hs16 37276  37300 10.488
hs16 37301  37325 6.592
hs16 37326  37350 3.516
hs16 37351  37375 3.106
hs16 37376  37400 2.696
hs16 37401  37425 2.49
hs16 37426  37450 2.08
hs16 37451  37475 2.49
hs16 37476  37500 3.311
hs16 37501  37525 5.977
hs16 37526  37550 17.461
hs16 37551  37575 24.023
hs16 38301  38325 0.03
hs16 38326  38350 0.03
hs16 38351  38375 0.03
hs16 38476  38500 0.03
hs16 38501  38525 0.03
hs16 38526  38550 0.03
hs16 38551  38575 0.03
hs16 38576  38600 0.03
hs16 38601  38625 0.03
hs16 38726  38750 0.03
hs16 38751  38775 0.059
hs16 38776  38800 0.059
hs16 38801  38825 0.03
hs16 38901  38925 0.089
hs16 38926  38950 0.089
hs16 38951  38975 0.089
hs16 39001  39025 0.03
hs16 39026  39050 0.03
hs16 39051  39075 0.03
hs16 39576  39600 0.03
hs16 39601  39625 0.03
hs16 39626  39650 0.03
hs16 39701  39725 0.03
hs16 39726  39750 0.03
hs16 39751  39775 0.03
hs16 39801  39825 0.03
hs16 39826  39850 0.03
hs16 39851  39875 0.03
hs16 39951  39975 0.03
hs16 39976  40000 0.03
hs16 40001  40025 0.03
hs16 40176  40200 0.059
hs16 40201  40225 0.059
hs16 40226  40250 0.059
hs16 40251  40275 0.03
hs16 40276  40300 0.088
hs16 40301  40325 0.118
hs16 40326  40350 0.118
hs16 40351  40375 0.059
hs16 40376  40400 0.03
hs16 40426  40450 0.03
hs16 40451  40475 0.03
hs16 40476  40500 0.03
hs16 40626  40650 0.03
hs16 40651  40675 0.03
hs16 40676  40700 0.03
hs16 40851  40875 0.03
hs16 40876  40900 0.03
hs16 41001  41025 0.03
hs16 41026  41050 0.03
hs16 41051  41075 0.03
hs16 41101  41125 0.03
hs16 41126  41150 0.03
hs16 41151  41175 0.03
hs16 41526  41550 0.03
hs16 41551  41575 0.03
hs16 41576  41600 23.548
hs16 41601  41625 13.613
hs16 41626  41650 15.438
hs16 41651  41675 0.005
hs16 41676  41700 0.005
hs16 41701  41725 0.005
hs16 41726  41750 0.005
hs16 41751  41775 0.005
hs16 41776  41800 0.005
hs16 41826  41850 0.005
hs16 41851  41875 0.005
hs16 41876  41900 0.005
hs16 41926  41950 0.005
hs16 41951  41975 0.005
hs16 41976  42000 0.005
hs16 42076  42100 0.005
hs16 42101  42125 0.005
hs16 42126  42150 0.005
hs16 42151  42175 0.005
hs16 42176  42200 0.005
hs16 42851  42875 0.03
hs16 42876  42900 0.03
hs16 42901  42925 0.03
hs16 42926  42950 0.03
hs16 42951  42975 0.03
hs16 42976  43000 0.03
hs16 43001  43025 0.03
hs16 43026  43050 0.03
hs16 43051  43075 0.03
hs16 43101  43125 0.03
hs16 43126  43150 0.03
hs16 43151  43175 0.03
hs16 43176  43200 0.03
hs16 43201  43225 0.172
hs16 43226  43250 0.03
hs16 43251  43275 0.03
hs16 43301  43325 0.03
hs16 43326  43350 0.03
hs16 43351  43375 0.172
hs16 43376  43400 0.172
hs16 43401  43425 0.03
hs16 43426  43450 0.03
hs16 43476  43500 16.982
hs16 43501  43525 17.694
hs16 43526  43550 11.426
hs16 43551  43575 5.016
hs16 43576  43600 2.736
hs16 43601  43625 1.027
hs16 43626  43650 0.03
hs16 43651  43675 0.03
hs16 43676  43700 0.03
hs16 43701  43725 0.03
hs16 43726  43750 0.03
hs16 43751  43775 0.03
hs16 43851  43875 0.03
hs16 43876  43900 0.123
hs16 43901  43925 0.965
hs16 43926  43950 3.679
hs16 43951  43975 5.55
hs16 43976  44000 6.018
hs16 44001  44025 5.644
hs16 44026  44050 7.703
hs16 44051  44075 11.539
hs16 44076  44100 0.217
hs16 44101  44125 0.217
hs16 44126  44150 0.123
hs16 44151  44175 0.03
hs16 44176  44200 0.03
hs16 44201  44225 0.03
hs16 44226  44250 0.03
hs16 44251  44275 0.123
hs16 44276  44300 0.123
hs16 44301  44325 0.03
hs16 44326  44350 0.03
hs16 44351  44375 0.03
hs16 44376  44400 0.03
hs16 44401  44425 0.03
hs16 44426  44450 0.03
hs16 44451  44475 0.03
hs16 44476  44500 0.03
hs16 44501  44525 0.03
hs16 44526  44550 0.03
hs16 44551  44575 0.03
hs16 44576  44600 0.03
hs16 44601  44625 0.03
hs16 44626  44650 0.03
hs16 44651  44675 0.03
hs16 44676  44700 0.03
hs16 44726  44750 0.03
hs16 44751  44775 0.03
hs16 44776  44800 0.03
hs16 44976  45000 0.03
hs16 45001  45025 0.03
hs16 45026  45050 0.127
hs16 45051  45075 0.127
hs16 45076  45100 0.03
hs16 45101  45125 0.03
hs16 45126  45150 0.127
hs16 45151  45175 0.127
hs16 45176  45200 0.03
hs16 45201  45225 0.03
hs16 45251  45275 0.03
hs16 45276  45300 0.03
hs16 45301  45325 0.03
hs16 45401  45425 0.03
hs16 45426  45450 0.03
hs16 45451  45475 0.03
hs16 45476  45500 11.148
hs16 45501  45525 8.71
hs16 45526  45550 5.686
hs16 45551  45575 0.03
hs16 45576  45600 0.03
hs16 45601  45625 0.03
hs16 45626  45650 0.03
hs16 45776  45800 0.03
hs16 45801  45825 12.416
hs16 45826  45850 11.148
hs16 45851  45875 9.393
hs16 45876  45900 6.174
hs16 45901  45925 0.03
hs16 45926  45950 0.03
hs16 45951  45975 0.03
hs16 45976  46000 0.03
hs16 46001  46025 0.03
hs16 46026  46050 0.096
hs16 46051  46075 0.096
hs16 46076  46100 0.03
hs16 46126  46150 0.03
hs16 46151  46175 0.03
hs16 46176  46200 0.03
hs16 46276  46300 0.03
hs16 46301  46325 0.03
hs16 46326  46350 0.03
hs16 46351  46375 0.03
hs16 46376  46400 0.03
hs16 46401  46425 0.03
hs16 46426  46450 0.03
hs16 46451  46475 0.03
hs16 46476  46500 0.03
hs16 46501  46525 0.03
hs16 46526  46550 0.03
hs16 46551  46575 7.128
hs16 46576  46600 8.256
hs16 46601  46625 6.664
hs16 47101  47125 6.576
hs16 47126  47150 5.499
hs16 47151  47175 5.83
hs16 47176  47200 3.841
hs16 47201  47225 5.582
hs16 47226  47250 6.162
hs16 47251  47275 5.996
hs16 47276  47300 4.339
hs16 47301  47325 3.344
hs16 47326  47350 6.576
hs16 47351  47375 10.305
hs16 47376  47400 9.311
hs16 47401  47425 5.084
hs16 47426  47450 0.195
hs16 47451  47475 0.278
hs16 47476  47500 0.278
hs16 47501  47525 0.527
hs16 47526  47550 0.527
hs16 47551  47575 0.361
hs16 47576  47600 0.278
hs16 47601  47625 0.278
hs16 47626  47650 0.195
hs16 47651  47675 0.03
hs16 47676  47700 0.03
hs16 47701  47725 0.03
hs16 47801  47825 0.03
hs16 47826  47850 0.03
hs16 47851  47875 0.03
hs16 48201  48225 0.088
hs16 48226  48250 0.118
hs16 48251  48275 0.118
hs16 48276  48300 0.059
hs16 48301  48325 0.088
hs16 48326  48350 0.088
hs16 48351  48375 0.118
